"55654310","55654310","PUB","US","United States of America","Virginia","Ashburn"
"55684443","55684443","PUB","US","United States of America","Virginia","Ashburn"
"55730206","55730206","PUB","US","United States of America","Virginia","Ashburn"
"55772344","55772344","PUB","US","United States of America","Virginia","Ashburn"
"55813478","55813478","PUB","US","United States of America","Virginia","Ashburn"
"55858510","55858510","PUB","US","United States of America","Virginia","Ashburn"
"55891453","55891453","PUB","US","United States of America","Virginia","Ashburn"
"55929496","55929496","PUB","US","United States of America","Virginia","Ashburn"
"55969793","55969805","DCH","US","United States of America","Virginia","Ashburn"
"56009607","56009746","DCH","US","United States of America","Virginia","Ashburn"
"56045912","56045960","DCH","US","United States of America","Virginia","Ashburn"
"56077312","56077325","DCH","US","United States of America","Virginia","Ashburn"
"56110620","56110630","DCH","US","United States of America","Virginia","Ashburn"
"56147997","56148025","DCH","US","United States of America","Virginia","Ashburn"
"56183526","56183755","DCH","US","United States of America","Virginia","Ashburn"
"56222473","56222474","DCH","US","United States of America","Virginia","Ashburn"
"56269792","56269817","DCH","US","United States of America","Virginia","Ashburn"
"56307898","56307898","PUB","US","United States of America","Virginia","Ashburn"
"56357379","56357606","DCH","US","United States of America","Virginia","Ashburn"
"56410215","56410246","DCH","US","United States of America","Virginia","Ashburn"
"56469747","56469747","PUB","US","United States of America","Virginia","Ashburn"
"56526496","56526496","PUB","US","United States of America","Virginia","Ashburn"
"56598329","56598329","PUB","US","United States of America","Virginia","Ashburn"
"56636608","56636623","DCH","CA","Canada","Quebec","Montreal"
"56663792","56663794","DCH","CA","Canada","Quebec","Montreal"
"56675677","56675711","DCH","CA","Canada","Quebec","Montreal"
"56737419","56737449","DCH","CA","Canada","Quebec","Montreal"
"56825335","56825335","PUB","CA","Canada","Quebec","Montreal"
"56860037","56860037","PUB","CA","Canada","Quebec","Montreal"
"56873107","56873108","PUB","CA","Canada","Quebec","Montreal"
"56957917","56957917","PUB","US","United States of America","California","San Francisco"
"56971342","56971342","PUB","US","United States of America","California","San Francisco"
"56983004","56983023","DCH","US","United States of America","California","San Francisco"
"57031411","57031411","PUB","NZ","New Zealand","Auckland","Auckland"
"57072417","57072417","PUB","NZ","New Zealand","Auckland","Auckland"
"57108855","57108855","PUB","NZ","New Zealand","Auckland","Auckland"
"57266957","57267305","DCH","AU","Australia","New South Wales","Sydney"
"57337789","57337796","DCH","AU","Australia","New South Wales","Sydney"
"57366041","57366058","DCH","AU","Australia","New South Wales","Sydney"
"57402853","57402877","DCH","AU","Australia","New South Wales","Sydney"
"57474059","57474059","PUB","IN","India","Maharashtra","Mumbai"
"57548324","57548324","PUB","IN","India","Maharashtra","Mumbai"
"57574040","57574040","PUB","IN","India","Maharashtra","Mumbai"
"57594851","57594851","PUB","IN","India","Maharashtra","Mumbai"
"57660763","57660764","PUB","IN","India","Maharashtra","Mumbai"
"57689008","57689048","DCH","JP","Japan","Tokyo","Tokyo"
"57727457","57727469","DCH","JP","Japan","Tokyo","Tokyo"
"57745156","57745166","DCH","JP","Japan","Tokyo","Tokyo"
"58204456","58204456","PUB","DE","Germany","Hessen","Frankfurt am Main"
"58265974","58265974","PUB","DE","Germany","Hessen","Frankfurt am Main"
"58356728","58356809","DCH","DE","Germany","Hessen","Frankfurt am Main"
"58425623","58425790","DCH","DE","Germany","Hessen","Frankfurt am Main"
"58570093","58570184","DCH","DE","Germany","Hessen","Frankfurt am Main"
"58718383","58718554","DCH","DE","Germany","Hessen","Frankfurt am Main"
"58772146","58772170","DCH","US","United States of America","Ohio","Columbus"
"58802890","58802969","DCH","US","United States of America","Ohio","Columbus"
"58938001","58938001","PUB","US","United States of America","Ohio","Columbus"
"59063139","59063162","DCH","US","United States of America","Ohio","Columbus"
"59079735","59079759","DCH","US","United States of America","Ohio","Columbus"
"59095966","59096883","DCH","US","United States of America","Ohio","Columbus"
"59142574","59142574","PUB","US","United States of America","Ohio","Columbus"
"59230208","59230211","DCH","US","United States of America","Ohio","Columbus"
"59242534","59242534","PUB","US","United States of America","Ohio","Columbus"
"59346538","59346569","DCH","US","United States of America","Ohio","Columbus"
"59357276","59357276","SES","US","United States of America","Ohio","Columbus"
"59385042","59385042","PUB","US","United States of America","Ohio","Columbus"
"59412095","59412113","DCH","US","United States of America","Ohio","Columbus"
"59457049","59457049","SES","US","United States of America","Ohio","Columbus"
"59467940","59467940","PUB","US","United States of America","Ohio","Columbus"
"59571082","59571103","DCH","US","United States of America","Ohio","Columbus"
"59586149","59586160","DCH","US","United States of America","Ohio","Columbus"
"59648844","59648858","DCH","US","United States of America","Ohio","Columbus"
"59673849","59673872","DCH","US","United States of America","Ohio","Columbus"
"59699199","59699199","PUB","US","United States of America","Ohio","Columbus"
"59757012","59757041","DCH","US","United States of America","Ohio","Columbus"
"59771045","59771045","SES","US","United States of America","Ohio","Columbus"
"59786555","59786585","DCH","US","United States of America","Ohio","Columbus"
"59797238","59797239","PUB","US","United States of America","Ohio","Columbus"
"59808936","59808936","PUB","US","United States of America","Ohio","Columbus"
"59822638","59822638","PUB","US","United States of America","Ohio","Columbus"
"59835481","59835493","DCH","US","United States of America","Ohio","Columbus"
"59847292","59847292","SES","US","United States of America","Ohio","Columbus"
"59857769","59857771","DCH","US","United States of America","Ohio","Columbus"
"59870823","59870823","PUB","US","United States of America","Ohio","Columbus"
"59882521","59882521","PUB","US","United States of America","Ohio","Columbus"
"59967466","59967572","DCH","US","United States of America","Ohio","Columbus"
"59984617","59984617","PUB","US","United States of America","Ohio","Columbus"
"60060603","60060603","SES","US","United States of America","Ohio","Columbus"
"60084620","60084620","PUB","US","United States of America","Ohio","Columbus"
"60098638","60098638","PUB","US","United States of America","Ohio","Columbus"
"60158861","60158861","PUB","US","United States of America","Ohio","Columbus"
"60323183","60323225","DCH","US","United States of America","Washington","Seattle"
"61360472","61360488","DCH","US","United States of America","New York","New York City"
"62693716","62693716","PUB","US","United States of America","Washington","Seattle"
"64075264","64075519","VPN","US","United States of America","Virginia","Ashburn"
"64510715","64510715","PUB","US","United States of America","Virginia","Ashburn"
"64929911","64929916","DCH","US","United States of America","Virginia","Ashburn"
"65279133","65279137","DCH","US","United States of America","Virginia","Ashburn"
"65527063","65527281","DCH","US","United States of America","Virginia","Ashburn"
"65734520","65734520","PUB","US","United States of America","Virginia","Ashburn"
"65795489","65795489","PUB","US","United States of America","Virginia","Ashburn"
"65851862","65851929","DCH","US","United States of America","Virginia","Ashburn"
"65931582","65931624","DCH","US","United States of America","Virginia","Ashburn"
"65986255","65986310","DCH","US","United States of America","Virginia","Ashburn"
"66043766","66043766","PUB","US","United States of America","Virginia","Ashburn"
"66656345","66656515","DCH","IE","Ireland","Dublin","Dublin"
"66719807","66719826","DCH","IE","Ireland","Dublin","Dublin"
"66775732","66775782","DCH","IE","Ireland","Dublin","Dublin"
"66903180","66903267","DCH","IE","Ireland","Dublin","Dublin"
"66975887","66975902","DCH","IE","Ireland","Dublin","Dublin"
"67073895","67074136","DCH","IE","Ireland","Dublin","Dublin"
"67115286","67115288","DCH","US","United States of America","Washington","Everett"
"67174865","67174865","DCH","US","United States of America","District of Columbia","Washington"
"67200033","67200033","DCH","US","United States of America","Maryland","Baltimore"
"67208314","67208324","DCH","US","United States of America","North Carolina","Charlotte"
"67248021","67248127","DCH","US","United States of America","Colorado","Denver"
"67427897","67427898","DCH","US","United States of America","Oregon","Portland"
"67603683","67603684","DCH","US","United States of America","North Carolina","Charlotte"
"68030919","68030928","DCH","US","United States of America","Texas","Houston"
"68066507","68066520","DCH","US","United States of America","New Jersey","Newark"
"68114691","68114692","DCH","US","United States of America","New York","New York City"
"68169857","68169858","DCH","CA","Canada","Ontario","Toronto"
"68206697","68206698","DCH","US","United States of America","California","San Francisco"
"68307953","68307953","DCH","US","United States of America","Massachusetts","Boston"
"68458233","68458233","DCH","US","United States of America","Minnesota","Minneapolis"
"68687777","68687777","DCH","US","United States of America","Washington","Seattle"
"68709762","68709764","DCH","US","United States of America","Georgia","Atlanta"
"68740389","68740389","DCH","US","United States of America","Ohio","Cleveland"
"68751786","68751792","DCH","US","United States of America","Minnesota","Minneapolis"
"68756815","68756816","DCH","US","United States of America","California","San Jose"
"68768294","68768296","DCH","US","United States of America","Georgia","Atlanta"
"68944719","68945537","DCH","US","United States of America","New Jersey","Newark"
"69142179","69142204","DCH","US","United States of America","Florida","Miami"
"69284466","69284480","DCH","US","United States of America","Oklahoma","Tulsa"
"69361860","69361919","DCH","US","United States of America","Georgia","Atlanta"
"69470873","69470873","DCH","US","United States of America","Idaho","Boise"
"69572259","69572533","DCH","US","United States of America","Colorado","Denver"
"69702906","69702911","DCH","US","United States of America","Florida","Miami"
"69954172","69954175","DCH","US","United States of America","North Carolina","Rocky Mount"
"70402048","70408959","DCH","US","United States of America","Georgia","Atlanta"
"70693376","70696191","DCH","US","United States of America","Georgia","Atlanta"
"71026579","71026660","DCH","US","United States of America","Texas","Dallas"
"71574867","71574868","DCH","US","United States of America","Georgia","Atlanta"
"71584115","71584117","DCH","US","United States of America","Georgia","Atlanta"
"71655936","71656290","DCH","US","United States of America","Louisiana","Monroe"
"71672506","71672506","DCH","NL","Netherlands (Kingdom of the)","Noord-Holland","Amsterdam"
"71684315","71684320","DCH","US","United States of America","Louisiana","Monroe"
"71689969","71689970","DCH","US","United States of America","Texas","Dallas"
"71792165","71792166","DCH","US","United States of America","California","San Jose"
"72265216","72265217","DCH","US","United States of America","New York","New York City"
"72936960","72937727","DCH","US","United States of America","Georgia","Atlanta"
"74062848","74063103","DCH","US","United States of America","Louisiana","Monroe"
"75259904","75261695","DCH","US","United States of America","Georgia","Atlanta"
"77141262","77141262","PUB","US","United States of America","Virginia","Boydton"
"78181035","78181035","PUB","ZA","South Africa","Gauteng","Johannesburg"
"80296289","80296289","PUB","BR","Brazil","Sao Paulo","Campinas"
"81114669","81114669","PUB","IN","India","Maharashtra","Pune"
"82042554","82042554","PUB","US","United States of America","Virginia","Washington"
"82696391","82698788","DCH","AU","Australia","New South Wales","Sydney"
"83374293","83374312","DCH","CA","Canada","Quebec","Quebec"
"83965570","83965570","PUB","RU","Russian Federation","Tyumenskaya oblast'","Tyumen'"
"84416083","84416084","DCH","RU","Russian Federation","Rostovskaya oblast'","Donetsk"
"84432743","84432743","PUB","RU","Russian Federation","Moskovskaya oblast'","Mytishchi"
