"281470733768641","281470733768641","PUB","AU","Australia","New South Wales","Sydney","Amazon Corporate Services Pty Ltd","amazon.com"
"281470733808106","281470733808106","PUB","AU","Australia","New South Wales","Sydney","Amazon Corporate Services Pty Ltd","amazon.com"
"281470733855071","281470733855071","PUB","AU","Australia","New South Wales","Sydney","Amazon Corporate Services Pty Ltd","amazon.com"
"281470733885955","281470733885955","PUB","AU","Australia","New South Wales","Sydney","Amazon Corporate Services Pty Ltd","amazon.com"
"281470733924179","281470733924183","DCH","AE","United Arab Emirates","Dubayy","Dubai","Amazon Technologies Inc.","amazon.com"
"281470733971463","281470733971471","DCH","AE","United Arab Emirates","Dubayy","Dubai","Amazon Technologies Inc.","amazon.com"
"281470734089599","281470734089599","PUB","US","United States of America","Washington","Seattle","Amazon.com Inc.","amazon.com"
"281470734337459","281470734337484","DCH","KR","Korea (the Republic of)","Seoul-teukbyeolsi","Seoul","Amazon Technologies Inc.","amazon.com"
"281470734371921","281470734371921","PUB","KR","Korea (the Republic of)","Seoul-teukbyeolsi","Seoul","Amazon Technologies Inc.","amazon.com"
"281470734409420","281470734409420","PUB","KR","Korea (the Republic of)","Seoul-teukbyeolsi","Seoul","Amazon Technologies Inc.","amazon.com"
"281470734437127","281470734437127","PUB","KR","Korea (the Republic of)","Seoul-teukbyeolsi","Seoul","Amazon Technologies Inc.","amazon.com"
"281470734459354","281470734459354","PUB","KR","Korea (the Republic of)","Seoul-teukbyeolsi","Seoul","Amazon Technologies Inc.","amazon.com"
"281470734522825","281470734522825","PUB","KR","Korea (the Republic of)","Seoul-teukbyeolsi","Seoul","Amazon Technologies Inc.","amazon.com"
"281470734601669","281470734601669","PUB","KR","Korea (the Republic of)","Seoul-teukbyeolsi","Seoul","Amazon Technologies Inc.","amazon.com"
"281470734618086","281470734618086","PUB","KR","Korea (the Republic of)","Seoul-teukbyeolsi","Seoul","Amazon Technologies Inc.","amazon.com"
"281470734691203","281470734691210","DCH","KR","Korea (the Republic of)","Seoul-teukbyeolsi","Seoul","Amazon Technologies Inc.","amazon.com"
"281470736299309","281470736299309","PUB","DE","Germany","Hessen","Frankfurt am Main","A100 ROW GmbH","amazon.com"
"281470736449614","281470736449614","PUB","DE","Germany","Hessen","Frankfurt am Main","A100 ROW GmbH","amazon.com"
"281470736525063","281470736525063","PUB","DE","Germany","Hessen","Frankfurt am Main","A100 ROW GmbH","amazon.com"
"281470736632215","281470736632215","VPN","DE","Germany","Hessen","Frankfurt am Main","A100 ROW GmbH","amazon.com"
"281470736715843","281470736715843","PUB","DE","Germany","Hessen","Frankfurt am Main","A100 ROW GmbH","amazon.com"
"281470736752207","281470736752349","DCH","DE","Germany","Hessen","Frankfurt am Main","A100 ROW GmbH","amazon.com"
"281470736815796","281470736815839","DCH","DE","Germany","Hessen","Frankfurt am Main","A100 ROW GmbH","amazon.com"
"281470736962326","281470736962326","PUB","DE","Germany","Hessen","Frankfurt am Main","A100 ROW GmbH","amazon.com"
"281470737051808","281470737051808","PUB","DE","Germany","Hessen","Frankfurt am Main","A100 ROW GmbH","amazon.com"
"281470737126517","281470737126517","PUB","DE","Germany","Hessen","Frankfurt am Main","A100 ROW GmbH","amazon.com"
"281470737262524","281470737262604","DCH","DE","Germany","Hessen","Frankfurt am Main","A100 ROW GmbH","amazon.com"
"281470737323499","281470737323519","DCH","US","United States of America","Virginia","Ashburn","Amazon Technologies Inc.","amazon.com"
"281470737357879","281470737358012","DCH","US","United States of America","Virginia","Ashburn","Amazon Technologies Inc.","amazon.com"
"281470737392320","281470737392430","DCH","US","United States of America","Virginia","Ashburn","Amazon Technologies Inc.","amazon.com"
"281470737424018","281470737424034","DCH","US","United States of America","Virginia","Ashburn","Amazon Technologies Inc.","amazon.com"
"281470737462141","281470737462160","DCH","US","United States of America","Virginia","Ashburn","Amazon Technologies Inc.","amazon.com"
"281470737507178","281470737507192","DCH","US","United States of America","Virginia","Ashburn","Amazon Technologies Inc.","amazon.com"
"281470737549939","281470737550001","DCH","US","United States of America","Virginia","Ashburn","Amazon Technologies Inc.","amazon.com"
"281470737594981","281470737594999","DCH","US","United States of America","Virginia","Ashburn","Amazon Technologies Inc.","amazon.com"
"281470737629201","281470737629240","DCH","US","United States of America","Virginia","Ashburn","Amazon Technologies Inc.","amazon.com"
"281470737665741","281470737665944","DCH","US","United States of America","Virginia","Ashburn","Amazon Technologies Inc.","amazon.com"
"281470737704187","281470737704187","PUB","US","United States of America","Virginia","Ashburn","Amazon Technologies Inc.","amazon.com"
