"281471447630489","281471447630489","RES","BR","Brazil","Sao Paulo","Varzea Paulista","Nitro Telecom","nitrotelecom.com.br","ISP","267957","Nitro Telecom","25","-","-","36"
"281471447645687","281471447645687","RES","BR","Brazil","Goias","Novo Gama","Falcon Net","falcon.net.br","ISP","267987","Falcon Net","29","-","-","32"
"281471447661148","281471447661148","RES","BR","Brazil","Parana","Paranagua","Impactnet I E C Ltda","impactnet.com.br","ISP","267974","Impactnet I E C Ltda","12","-","-","49"
"281471447682312","281471447682312","RES","BR","Brazil","Acre","Xapuri","DS Telecom","dstelecom.net.br","ISP","267997","DS Telecom","28","-","-","33"
"281471447699072","281471447699072","RES","BR","Brazil","Maranhao","Montes Altos","S.Barros de Souza-ME","netfacilbandalarga.com.br","ISP","268011","S.Barros de Souza-ME","21","-","-","40"
"281471447718263","281471447718263","RES","BR","Brazil","Bahia","Feira de Santana","Bel Infonet Servicos de Comunicacao E Multimidia E","belinfonet2.com.br","ISP","268009","Bel Infonet Servicos de Comunicacao E Multimidia E","19","-","-","42"
"281471447744837","281471447744837","RES","BR","Brazil","Sao Paulo","Sao Paulo","Thiago Aparecido Scaramuzza Santana","thmtc.com.br","ISP","268138","Thiago Aparecido Scaramuzza Santana","27","-","-","34"
"281471447760862","281471447760862","RES","BR","Brazil","Para","Oriximina","W E C Servicos de Comunicacao Multimidia Ltda","amazonett.com.br","ISP","268063","W E C Servicos de Comunicacao Multimidia Ltda","4","-","-","57"
"281471447775760","281471447775760","RES","BR","Brazil","Sao Paulo","Sorocaba","Grupo TDKOM","tdkom.psi.br","ISP","268071","Grupo TDKOM","9","-","-","52"
"281471447790312","281471447790312","RES","BR","Brazil","Tocantins","Juca Polvora","Prime Connect Telecomunicacoes Ltda","primesystem.net.br","ISP","268094","Prime Connect Telecomunicacoes Ltda","8","-","-","53"
"281471447810576","281471447810576","RES","BR","Brazil","Goias","Itumbiara","Brasil Informatica Ltda EPP","brasilinfo.net.br","ISP","268098","Brasil Informatica Ltda EPP","29","-","-","32"
"281471447827237","281471447827237","RES","BR","Brazil","Minas Gerais","Juiz de Fora","THM Tecnologia Net Ltda","thmprovedor.com.br","ISP","268114","THM Tecnologia Net Ltda","9","-","-","52"
"281471447846938","281471447846938","RES","BR","Brazil","Bahia","Bom Jesus da Serra","Fotoline Tecnologia Ltda ME","fotoline.com.br","ISP","268130","Fotoline Tecnologia Ltda ME","19","-","-","42"
"281471447862638","281471447862654","DCH","CA","Canada","Ontario","Toronto","Toronto IT","laceibaserver.com","DCH","265770","Grupo Lana S.A.","1","-","-","3"
"281471447874425","281471447874425","RES","BR","Brazil","Sao Paulo","Sao Jose dos Campos","Accesslink Telecom","accesslinkbr.com.br","ISP","268148","Accesslink Telecom","3","-","-","58"
"281471447884425","281471447884425","RES","BR","Brazil","Sao Paulo","Friburgo","Elevar Telecom Ltda","elevartelecom.com.br","ISP","268157","Elevar Telecom Ltda","19","-","-","42"
"281471447892705","281471447892705","RES","PY","Paraguay","Alto Parana","Yguazu","Yassin Jaber","giganet.net.py","ISP","61512","Gig@Net Sociedad Anonima","22","-","-","39"
"281471447910022","281471447910022","RES","BR","Brazil","Sao Paulo","Campinas","Meganet Tecnologia Ltda","meganetsalto.com.br","ISP","268171","Meganet Tecnologia Ltda","3","-","-","58"
"281471447928427","281471447928427","RES","BR","Brazil","Bahia","Salvador","D & B Telecomunicacoes Ltda","netgool.com.br","ISP","268177","D & B Telecomunicacoes Ltda","10","-","-","51"
"281471447947764","281471447947764","RES","BR","Brazil","Pernambuco","Ribeirao","Pernambuco Telecom Ltda","pernambucotel.com.br","ISP","268704","Pernambuco Telecom Ltda","17","-","-","44"
"281471447970441","281471447970441","RES","BR","Brazil","Minas Gerais","Belo Horizonte","Planex Telecom","planextelecom.net.br","ISP","268725","Planex Telecom","20","-","-","41"
"281471447980386","281471447980386","RES","BR","Brazil","Minas Gerais","Bicas","Conecta Servico de Comunicacao Multimidia Ltda","conectalink.com.br","ISP","268732","Conecta Servico de Comunicacao Multimidia Ltda","25","-","-","36"
"281471447999057","281471447999057","RES","BR","Brazil","Rondonia","Alasca","Skynet Tecnologia","skynettecnologia.com","ISP","268748","Skynet Tecnologia","14","-","-","47"
"281471448008289","281471448008289","RES","BR","Brazil","Sao Paulo","Sao Paulo","N-Multimidia Telecomunicacoes Ltda - ME","n-multimidia.com.br","ISP","265234","N-Multimidia Telecomunicacoes Ltda - ME","26","-","-","35"
"281471448015397","281471448015397","RES","BR","Brazil","Sao Paulo","Osvaldo Cruz","Link Brasil Telecomunicacoes Ltda","linkbrasil.net.br","ISP","271253","Link Brasil Telecomunicacoes Ltda","11","-","-","50"
"281471448032155","281471448032155","RES","BR","Brazil","Para","Moju","VLink Telecom","viacast.com.br","ISP","268785","VLink Telecom","19","-","-","42"
"281471448043214","281471448043214","RES","BR","Brazil","Minas Gerais","Paraopeba","Seu Wifi Telecom Ltda","seuwifi.com","ISP","268787","Seu Wifi Telecom Ltda","21","-","-","40"
"281471448055576","281471448055576","RES","BR","Brazil","Parana","Lapa","Direct Internet Ltda","directwifi.com.br","ISP","263569","Direct Internet Ltda","15","-","-","46"
"281471448080473","281471448080473","RES","BR","Brazil","Sao Paulo","Santos","Ariki Solucoes em Tecnologia","arikinet.com.br","ISP","262881","Ariki Solucoes em Tecnologia","26","-","-","35"
"281471448095808","281471448095808","RES","BR","Brazil","Rio de Janeiro","Bom Jesus do Itabapoana","Work Telecom Internet Ltda","worktelecombj.net.br","ISP","273470","Work Telecom Internet Ltda","9","-","-","52"
"281471448110553","281471448110553","RES","AR","Argentina","Rio Negro","Catriel","ISP Fiber S.R.L","fastnet.com.ar","ISP","264758","ISP Group SRL","29","-","-","32"
"281471448124774","281471448124774","RES","BR","Brazil","Rio Grande do Sul","Porto Alegre","Provedor Clicnet","clicnet.net.br","ISP","268915","Provedor Clicnet","26","-","-","35"
"281471448146103","281471448146103","RES","BR","Brazil","Sao Paulo","Santos","ETECC Fibra Optica Telecom Ltda","eteccinformatica.com.br","ISP","263574","ETECC Fibra Optica Telecom Ltda","26","-","-","35"
"281471448166212","281471448166212","RES","MX","Mexico","Tabasco","Paraiso","Javier Tamayo Garcia","fibratamayo.ddns.net","ISP","28435","Javier Tamayo Garcia","11","-","-","50"
"281471448187521","281471448187521","RES","BR","Brazil","Santa Catarina","Lourdes","Sim Internet Provedores de Internet Eireli.","redesiminternet.com.br","ISP","270961","Sim Internet Provedores de Internet Eireli.","10","-","-","51"
"281471448200825","281471448200825","RES","BR","Brazil","Minas Gerais","Belo Horizonte","Mais Rede Telecom","maisrede.com.br","ISP","268882","Mais Rede Telecom","26","-","-","35"
"281471448215787","281471448215787","RES","BR","Brazil","Sao Paulo","Campinas","Desktop Sigmanet Comunicacao Multimidia SA","desktop.com.br","ISP","28649","Desktop Sigmanet Comunicacao Multimidia SA","21","-","-","40"
"281471448223670","281471448223670","RES","AR","Argentina","Formosa","Ingeniero Guillermo N. Juarez","Boca Roja S.A.","bocarojasa.com.ar","ISP","265663","Boca Roja S.A.","1","-","-","60"
"281471448242541","281471448242541","RES","BR","Brazil","Paraiba","Campina Grande","Proxxima Telecomunicacoes SA","proxxima.net","ISP","262773","Proxxima Telecomunicacoes SA","10","-","-","51"
"281471448264031","281471448264031","RES","BR","Brazil","Para","Mosqueiro","Ilhas Net Ltda - ME","ilhasnet.com.br","ISP","268930","Ilhas Net Ltda - ME","7","-","-","54"
"281471448282646","281471448282646","RES","CL","Chile","Region Metropolitana de Santiago","Santiago","Comercial Netxtreme Ltda","nxchile.cl","ISP","267859","Comercial Netxtreme Ltda","21","-","-","40"
"281471448304302","281471448304302","RES","BR","Brazil","Sao Paulo","Sao Paulo","R.R. Pereira- Serv de Com Mult - Eireli","i9mastertelecom.com.br","ISP","268966","R.R. Pereira- Serv de Com Mult - Eireli","29","-","-","32"
"281471448329005","281471448329005","RES","MX","Mexico","Michoacan de Ocampo","Morelia","Wi Go Internet Sa de CV","wigo.mx","ISP","270134","Wi Go Internet Sa de CV","22","-","-","39"
"281471448357388","281471448357388","RES","BR","Brazil","Rio Grande do Sul","Alvorada","Vem Pra Uno Provedor de Internet Ltda","onnexx.com.br","ISP","268985","Vem Pra Uno Provedor de Internet Ltda","27","-","-","34"
"281471448371315","281471448371315","RES","BR","Brazil","Rio Grande do Sul","Alegrete","Fronteira Internet","fronteirainternet.com.br","ISP","268999","Fronteira Internet","15","-","-","46"
"281471448385781","281471448385781","RES","AR","Argentina","Entre Rios","Segui","Ramirez Cable Vision SRL","ramirezcablevision.com.ar","ISP","267876","Ramirez Cable Vision SRL","20","-","-","41"
"281471448408985","281471448408985","RES","AR","Argentina","Neuquen","Centenario","Maria Jose Noguera","max-internet.com.ar","ISP","267899","Maria Jose Noguera(MaxInternet)","11","-","-","50"
"281471448435836","281471448435836","RES","BR","Brazil","Bahia","Feira de Santana","LNK Telecom","lnktelecom.com.br","ISP","269056","LNK Telecom","29","-","-","32"
"281471448447958","281471448447958","RES","BR","Brazil","Minas Gerais","Mateus Leme","Universo Fiber Comunicacao Multimidia","universotecnologiainternet.com.br","ISP","269051","Universo Fiber Comunicacao Multimidia","27","-","-","34"
"281471448461519","281471448461519","RES","BR","Brazil","Sao Paulo","Brasilandia","Click Connect Telecom Ltda","clickconnect.com.br","ISP","269060","Click Connect Telecom Ltda","8","-","-","53"
"281471448477774","281471448477774","RES","BR","Brazil","Piaui","Bom Jesus","Virtex Telecom","virtex.com.br","ISP","262494","Virtex Telecom","4","-","-","57"
"281471448499189","281471448499189","RES","PY","Paraguay","Alto Parana","Doctor Juan Leon Mallorquin","Saldivar Sosa Rodrigo Agustin","raynet.com.py","ISP","267920","Saldivar Sosa Rodrigo Agustin (RAYNET)","12","-","-","49"
"281471448518945","281471448518945","RES","BR","Brazil","Sao Paulo","Aracatuba","Link Brasil Telecomunicacoes Ltda","linkbrasil.net.br","ISP","271253","Link Brasil Telecomunicacoes Ltda","6","-","-","55"
"281471448532123","281471448532123","RES","CL","Chile","Maule","San Javier","Baltac SpA","baltac.com","ISP","61466","TV Cable Loncomilla S.A.","29","-","-","32"
"281471448552595","281471448552595","RES","BR","Brazil","Sao Paulo","Sao Paulo","Mov Telecom Servicos de Provedores de Internet Ltd","movtelecom.net.br","ISP","269138","Mov Telecom Servicos de Provedores de Internet Ltd","28","-","-","33"
"281471448560682","281471448560682","RES","PY","Paraguay","Asuncion","Asuncion","Acas Tecnologias S.A.","acas.net.py","ISP","269725","Acas Tecnologias S.A.","28","-","-","33"
"281471448580672","281471448580672","RES","BR","Brazil","Pernambuco","Recife","Jose R G da Silva","netkom.com.br","ISP","269157","Jose R G da Silva","26","-","-","35"
"281471448591648","281471448591648","RES","AR","Argentina","Buenos Aires","Necochea","Astesano Alfredo Mario","astesano.com.ar","ISP","267798","Generacion Wi-Fi SA","23","-","-","38"
"281471448601628","281471448601629","RES","HN","Honduras","Cortes","Santa Elena","Grupo Multicables de Cortes S.R.L de C.V","meganetftth.duckdns.org","ISP","269729","Grupo Multicables de Cortes S.R.L de C.V","24","-","-","37"
"281471448614336","281471448614336","RES","BR","Brazil","Rio Grande do Sul","Pinhal","Luc Fibra","lucfibra.com.br","ISP","269184","Luc Fibra","17","-","-","44"
"281471448638293","281471448638293","RES","VE","Venezuela (Bolivarian Republic of)","Carabobo","Valencia","Chircalnet Telecom C.A.","chircalnetwifi.com.ve","ISP","269738","Chircalnet Telecom C.A.","13","-","-","48"
"281471448661053","281471448661053","RES","BR","Brazil","Goias","Goiania","Vamos Internet Telecom Ltda","vamos.com.vc","ISP","269220","Vamos Internet Telecom Ltda","9","-","-","52"
"281471448679672","281471448679672","RES","BR","Brazil","Parana","Ponta Grossa","Dbug Telecom Ltda","impsat.net.br","ISP","262847","Dbug Telecom Ltda","28","-","-","33"
"281471448690865","281471448690865","RES","BR","Brazil","Sao Paulo","Sao Paulo","Evolucao Telecom Ltda","evolucaotelecomlt.com.br","ISP","269250","Evolucao Telecom Ltda","17","-","-","44"
"281471448711519","281471448711519","RES","BR","Brazil","Minas Gerais","Belo Horizonte","Nexo Telecom Ltda","velocidadenet.com.br","ISP","269249","Nexo Telecom Ltda","16","-","-","45"
"281471448731474","281471448731474","RES","BR","Brazil","Rio Grande do Sul","Porto Alegre","Tecnosul Provedor de Internet Ltda","tecnosulnet.com.br","ISP","269333","Tecnosul Provedor de Internet Ltda","25","-","-","36"
"281471448747899","281471448747899","RES","EC","Ecuador","Santo Domingo de los Tsachilas","Santo Domingo de los Colorados","Compania Electromecanicos Para el Desarrollo Csed SA","csed.net.ec","ISP","264824","Compania Electromecanicos Para el Desarrollo Csed SA","24","-","-","37"
"281471448766563","281471448766563","RES","BR","Brazil","Minas Gerais","Uberlandia","Internet Tecnologia Ltda","italinkprovedor.com.br","ISP","269360","Internet Tecnologia Ltda","16","-","-","45"
"281471448776539","281471448776539","RES","BR","Brazil","Maranhao","Maracacume","Voe Internet Ltda","voeinternet.com","ISP","269301","Voe Internet Ltda","29","-","-","32"
"281471448791184","281471448791184","RES","BR","Brazil","Sao Paulo","Itapui","Robot Best Net Tec. E Servicos Eireli","robotnet.com.br","ISP","269316","Robot Best Net Tec. E Servicos Eireli","3","-","-","58"
"281471448805340","281471448805340","RES","PY","Paraguay","Caaguazu","Mbutuy","Wind Net S.A.","wind.net.py","ISP","269783","Wind Net S.A.","18","-","-","43"
"281471448832793","281471448832793","RES","BR","Brazil","Goias","Goiania","Spacy Net","spacynet.com.br","ISP","269345","Spacy Net","8","-","-","53"
"281471448844677","281471448844677","RES","BR","Brazil","Sao Paulo","Sao Paulo","WHD Internet","whdfibra.com.br","ISP","269369","WHD Internet","27","-","-","34"
"281471448853719","281471448853720","PUB","BR","Brazil","Minas Gerais","Sarzedo","Delta Telecom","delta-telecom.net","DCH","269357","Delta Telecom","30","-","-","80"
"281471448871877","281471448871877","RES","BR","Brazil","Rondonia","Barracao do Liberato","RG Telecom","rgtelecomchp.ddns.net","ISP","269373","RG Telecom","7","-","-","54"
"281471448883162","281471448883162","RES","BR","Brazil","Para","Belem","Online Norte Telecom Ltda","loginternet.com.br","ISP","264221","Online Norte Telecom Ltda","6","-","-","55"
"281471448900779","281471448900779","RES","BR","Brazil","Ceara","Fortaleza","Link Telecom Servicos de Internet Ltda.","linkfortaleza.com.br","ISP","269433","Link Telecom Servicos de Internet Ltda.","7","-","-","54"
"281471448919171","281471448919171","RES","AR","Argentina","Buenos Aires","Vedia","Coop de Provision de Servicios de Obras Agua Potable Y Otros Pub de J B Alberdi","copsalberdi.com.ar","ISP","269808","Coop de Provision de Servicios de Obras Agua Potable Y Otros Pub de J B Alberdi","3","-","-","58"
"281471448933304","281471448933304","RES","BR","Brazil","Alagoas","Santana do Mundau","Luciana P. da Silva-Informatica-ME","virtualinknet.com.br","ISP","269429","Luciana P. da Silva-Informatica-ME","21","-","-","40"
"281471448947437","281471448947439","DCH","US","United States of America","New York","New York City","Cloud Colibri S.A","cloudcolibrisa.com","DCH","266842","Hnhosting.net S.A.","1","-","-","3"
"281471448957129","281471448957129","RES","BR","Brazil","Sao Paulo","Sao Joaquim da Barra","Weclix Telecom S/A","weclix.com.br","ISP","268976","Weclix Telecom S/A","22","-","-","39"
"281471448970813","281471448970813","RES","BR","Brazil","Minas Gerais","Belo Horizonte","AFS Telecom Ltda. -Me","afstelecom.com.br","ISP","269526","AFS Telecom Ltda. -Me","29","-","-","32"
"281471448989363","281471448989363","RES","BR","Brazil","Rio de Janeiro","Bacaxa","G+B Sistemas E Automacao Ltda-ME","axontelecom.com.br","ISP","269457","G+B Sistemas E Automacao Ltda-ME","25","-","-","36"
"281471449000265","281471449000265","DCH","BR","Brazil","Bahia","Itanhem","GPR Net Comunicacoes Eireli","gpr.com.br","DCH","269494","GPR Net Comunicacoes Eireli","1","-","-","3"
"281471449008695","281471449008695","RES","BR","Brazil","Parana","Santo Antonio do Sudoeste","Infoservic Informatica Telecomunicacao Ltda","infoservic.com.br","ISP","263495","Infoservic Informatica Telecomunicacao Ltda","17","-","-","44"
"281471449018013","281471449018013","RES","BR","Brazil","Sao Paulo","Sao Paulo","Youpload Telecom Ltda ME","youpload.com.br","ISP","269474","Youpload Telecom Ltda ME","8","-","-","53"
"281471449033251","281471449033251","RES","BR","Brazil","Distrito Federal","Gama","Onitel Telecomunicacoes","onitel.com.br","ISP","266207","Onitel Telecomunicacoes","17","SCANNER","-","52"
"281471449050952","281471449050952","RES","BR","Brazil","Pernambuco","Petrolina","Gildemberg de Souza Andrade Acesso A Internet EPP","poddiumnet.com.br","ISP","269531","Gildemberg de Souza Andrade Acesso A Internet EPP","29","-","-","32"
"281471449069931","281471449069931","RES","BR","Brazil","Bahia","Vitoria da Conquista","Rede Connect Telecomunicacoes Ltda","connectba.com.br","ISP","53005","Rede Connect Telecomunicacoes Ltda","29","-","-","32"
"281471449084480","281471449084480","RES","BR","Brazil","Sao Paulo","Campinas","Tec Plus Telecomunicao Ltda","tecplus.net.br","ISP","269535","Tec Plus Telecomunicao Ltda","20","-","-","41"
"281471449100674","281471449100674","RES","BR","Brazil","Sao Paulo","Sao Paulo","M.M. Brito da Silva - Multimidia","sosisp.com.br","ISP","269561","M.M. Brito da Silva - Multimidia","22","-","-","39"
"281471449121565","281471449121565","RES","BR","Brazil","Alagoas","Atalaia","Arenna Fibra Telecom","arennanet.com.br","ISP","269586","Arenna Fibra Telecom","18","-","-","43"
"281471449142549","281471449142549","RES","MX","Mexico","Tabasco","Buenavista","Javier Tamayo Garcia","fibratamayo.ddns.net","ISP","28435","Javier Tamayo Garcia","29","-","-","32"
"281471449158956","281471449158956","RES","BR","Brazil","Santa Catarina","Guaramirim","Onlline Telecomunicacoes Ltda","onllinetelecom.com.br","ISP","269614","Onlline Telecomunicacoes Ltda","19","-","-","42"
"281471449177633","281471449177633","RES","BR","Brazil","Sao Paulo","Sorocaba","Opstelecom Servico em Telecomunicacoes Ltda","opstelecom.com.br","ISP","269632","Opstelecom Servico em Telecomunicacoes Ltda","16","-","-","45"
"281471449198054","281471449198054","RES","BR","Brazil","Sao Paulo","Campinas","Indaiafibra Networking Eireli","indaiafibra.com.br","ISP","269626","Indaiafibra Networking Eireli","15","-","-","46"
"281471449205917","281471449205917","RES","BR","Brazil","Rondonia","Tira Fogo","Brasil Digital Servicos de Informatica e Comercio","brasildigital.net.br","ISP","263661","Brasil Digital Servicos de Informatica e Comercio","21","-","-","40"
"281471449210627","281471449210627","RES","BR","Brazil","Sao Paulo","Sao Paulo","Connectlink Tech","connectlinksp.net.br","ISP","269663","Connectlink Tech","28","-","-","33"
"281471449226489","281471449226489","RES","BR","Brazil","Sao Paulo","Bom Jesus dos Perdoes","Cross Conection Provedor de Internet Ltda","crossconection.com.br","ISP","262278","Cross Conection Provedor de Internet Ltda","23","-","-","38"
"281471449251205","281471449251205","RES","BR","Brazil","Sao Paulo","Sao Paulo","Ronaldo Souza Correia-ME","acesso3w.com.br","ISP","269667","Ronaldo Souza Correia -ME","16","-","-","45"
"281471449265445","281471449265445","RES","BR","Brazil","Rio de Janeiro","Rio de Janeiro","TCL Cortez Servicoes en Telecominicacoes","tclcortez.com","ISP","269680","TCL Cortez Servicoes en Telecominicacoes","2","-","-","59"
"281471449285354","281471449285354","RES","AR","Argentina","Salta","Rosario de la Frontera","Gutierrez Butron Navil Oscar","conectis.com.ar","ISP","272878","Mahmud Federico Gabriel (CEM Comunicaciones)","24","-","-","37"
"281471449300955","281471449300955","RES","BR","Brazil","Paraiba","Campina Grande","Linax Servicos de Internet Ltda","linax.net.br","ISP","269699","Linax Servicos de Internet Ltda","22","-","-","39"
"281471449330943","281471449331199","DCH","SG","Singapore","Singapore","Singapore","SkyDigital Telecom Ltd","skysdigital.net","DCH","401783","Tokala Communications Inc.","1","-","-","3"
"281471449359717","281471449359717","PUB","GB","United Kingdom of Great Britain and Northern Ireland","England","London","Arisk Communications inc","ariskisp.com","DCH","395793","Arisk Communications Inc.","10","-","-","97"
"281471449361039","281471449361039","PUB","VN","Viet Nam","Ho Chi Minh","Ho Chi Minh City","Arisk Communications inc","ariskisp.com","DCH","395793","Arisk Communications Inc.","4","-","-","99"
"281471449377331","281471449377674","DCH","HK","Hong Kong","Hong Kong","Hong Kong","WuHan YunWaiHeng Information Technology co.Ltd","cloudinnovation.com","DCH","134548","DXTL Tseung Kwan O Service","1","-","-","3"
"281471449435962","281471449435962","RES","PK","Pakistan","Punjab","Sialkot","Prime Networks","prime.net.pk","ISP","138590","Prime Networks","16","-","-","45"
"281471449504061","281471449504061","RES","VE","Venezuela (Bolivarian Republic of)","Zulia","Maracaibo","Maratel C.A","maratelgroup.com","ISP","271875","Maratel CA","18","-","-","43"
"281471449541590","281471449541593","DCH","ID","Indonesia","Jakarta Raya","Jakarta","IT Host BLSYNC","blsync.com","DCH","202656","Ivanov Vitaliy Sergeevich","1","-","-","3"
"281471449555349","281471449555349","RES","TR","Turkiye","Adana","Adana","Goknet Lletisim A.S.","goknet.com.tr","ISP","201411","Goknet Iletisim A.S.","12","-","-","49"
"281471449575573","281471449575595","DCH","ID","Indonesia","Jakarta Raya","Jakarta","Cloud Innovation Ltd","cloudinnovation.com","DCH","-","-","1","-","-","3"
"281471449624925","281471449624925","DCH","RO","Romania","-","-","Qlan Technologies","cloudinnovation.com","DCH","25198","InterKVM Host SRL","1","-","-","3"
"281471449694291","281471449694302","DCH","PL","Poland","Mazowieckie","Warsaw","Expresshost","cloudinnovation.com","DCH","201814","MEVSPACE Sp. z o.o.","1","-","-","3"
"281471449741566","281471449741566","PUB","VN","Viet Nam","Ha Noi","Hanoi","Arisk Communications inc","ariskisp.com","DCH","395793","Arisk Communications Inc.","30","-","-","80"
"281471449783052","281471449783064","DCH","HK","Hong Kong","Hong Kong","Hong Kong","Dingfeng Xinhui HK Technology Limited","cloudinnovation.com","DCH","134548","DXTL Tseung Kwan O Service","1","-","-","3"
"281471449794959","281471449794960","PUB","SG","Singapore","Singapore","Singapore","Hongkong Lightlayer Technology","cloudinnovation.com","DCH","-","-","30","-","-","80"
"281471449809682","281471449809710","DCH","ZA","South Africa","Western Cape","Cape Town","IT Host BLSYNC","blsync.com","DCH","202656","Ivanov Vitaliy Sergeevich","1","-","-","3"
"281471449823819","281471449823823","DCH","PH","Philippines","National Capital Region","Manila","IT Host BLSYNC","blsync.com","DCH","202656","Ivanov Vitaliy Sergeevich","1","-","-","3"
"281471449869665","281471449869675","DCH","LK","Sri Lanka","Western Province","Colombo","IT Host BLSYNC","blsync.com","DCH","202656","Ivanov Vitaliy Sergeevich","1","-","-","3"
"281471449894338","281471449894338","RES","GB","United Kingdom of Great Britain and Northern Ireland","England","London","Tokala Communications Inc.","tokala-mobile.com","MOB","2914","NTT America Inc.","25","-","-","36"
"281471449915942","281471449915942","PUB","TH","Thailand","Krung Thep Maha Nakhon","Bangkok","Cloud Innovation Ltd","cloudinnovation.com","DCH","-","-","30","-","-","80"
"281471449976143","281471449976143","PUB","DE","Germany","Hessen","Frankfurt am Main","Cloud Innovation Ltd","cloudinnovation.com","DCH","17561","LARUS Limited","30","-","-","80"
"281471450062364","281471450062378","DCH","SG","Singapore","Singapore","Singapore","Cloud Innovation Ltd","cloudinnovation.com","DCH","17561","LARUS Limited","1","-","-","3"
"281471450108444","281471450108444","RES","US","United States of America","California","El Segundo","Cox Communications LLC","cox.com","ISP","22773","Cox Communications Inc.","12","-","-","49"
"281471450223632","281471450223632","DCH","GB","United Kingdom of Great Britain and Northern Ireland","England","London","Wuhan Endless Network Co. Ltd.","cloudinnovation.com","DCH","20326","TeraSwitch Networks Inc.","1","-","-","3"
"281471450340527","281471450340527","PUB","HK","Hong Kong","Hong Kong","Hong Kong","Vapeline Technology","vapeline-idc.com","DCH","401701","CognetCloud Inc","30","-","-","80"
"281471450877279","281471450877279","RES","MA","Morocco","Fes- Meknes","Meknes","Meditel","meditel.ma","MOB","36925","Meditelecom","2","-","-","59"
"281471450928111","281471450928111","RES","MA","Morocco","Tanger-Tetouan-Al Hoceima","Tangier","Meditel","meditel.ma","MOB","36925","Meditelecom","24","-","-","37"
"281471451039876","281471451039876","RES","MA","Morocco","Fes- Meknes","Fes","Meditel","meditel.ma","MOB","36925","Meditelecom","18","-","-","43"
"281471451076140","281471451076140","RES","MA","Morocco","Souss-Massa","Sidi Moussa","Meditel","meditel.ma","MOB","36925","Meditelecom","23","-","-","38"
"281471451085597","281471451085597","RES","MA","Morocco","Rabat-Sale-Kenitra","Kenitra","Meditel","meditel.ma","MOB","36925","Meditelecom","9","-","-","52"
"281471451095707","281471451095707","RES","MA","Morocco","Souss-Massa","Tiznit","Meditel","meditel.ma","MOB","36925","Meditelecom","28","-","-","33"
"281471451105157","281471451105157","RES","MA","Morocco","Souss-Massa","Sidi Moussa","Meditel","meditel.ma","MOB","36925","Meditelecom","23","-","-","38"
"281471451115156","281471451115156","RES","MA","Morocco","Tanger-Tetouan-Al Hoceima","Larache","Meditel","meditel.ma","MOB","36925","Meditelecom","28","-","-","33"
"281471451125389","281471451125389","RES","MA","Morocco","Tanger-Tetouan-Al Hoceima","Oulad Tayeb","Meditel","meditel.ma","MOB","36925","Meditelecom","27","-","-","34"
"281471451143317","281471451143317","RES","ZA","South Africa","Gauteng","Rosslyn","Level 7 Wireless (Pty) Ltd","level-7.co.za","ISP","327901","Level 7 Wireless (Pty) Ltd","21","-","-","40"
"281471451399919","281471451399919","RES","BR","Brazil","Rio de Janeiro","Valenca","Plus Multiplayer TV ltda.","plustv.tv.br","ISP","267646","Plus Multiplayer TV ltda.","22","-","-","39"
"281471451423197","281471451423197","RES","EC","Ecuador","Guayas","Guayaquil","Rapinet Proveedores de Internet","rapinet.net.ec","ISP","52468","Ufinet Panama S.A.","26","-","-","35"
"281471451437018","281471451437018","RES","EC","Ecuador","Guayas","Guayaquil","Angel Bladimir Estrella Maldonado","teune.ec","ISP","52468","Ufinet Panama S.A.","19","-","-","42"
"281471451452071","281471451452071","RES","BR","Brazil","Pernambuco","Recife","Log Link Informatica Ltda - ME","commcorp.net.br","ISP","267666","Log Link Informatica Ltda - ME","29","-","-","32"
"281471451477347","281471451477347","RES","BR","Brazil","Minas Gerais","Paraopeba","Navegador Internet Ltda ME","navegadorinternet.com.br","ISP","266942","Navegador Internet Ltda ME","16","-","-","45"
"281471451494570","281471451494570","RES","BR","Brazil","Sergipe","Aracaju","Centrosulnet Informatica Eireli","centrosulnet.com.br","ISP","266935","Centrosulnet Informatica Eireli","17","-","-","44"
"281471451506270","281471451506270","PUB","BR","Brazil","Bahia","Salvador","Skyinf Solucoes em Tecnologia de Informacao Ltda","skyinf.net","DCH","266959","Skyinf Solucoes em Tecnologia de Informacao Ltda","30","-","-","80"
"281471451513175","281471451513175","RES","BR","Brazil","Sao Paulo","Sorocaba","Ibiunet Multiplay","ibiunet.com.br","ISP","266948","Ibiunet Multiplay","24","-","-","37"
"281471451524581","281471451524581","RES","BR","Brazil","Parana","Curitiba","Direct Internet Ltda","directwifi.com.br","ISP","263569","Direct Internet Ltda","20","-","-","41"
"281471451537679","281471451537679","RES","BO","Bolivia (Plurinational State of)","La Paz","La Paz","Corporacion Vista Cobija S.r.l.","govista.com.bo","ISP","265880","Corporacion Vista Cobija S.r.l.","21","-","-","40"
"281471451548426","281471451548426","RES","BR","Brazil","Sao Paulo","Sao Paulo","Arias Telecomunicacoes Ltda","ariastelecom.com.br","ISP","266961","Arias Telecomunicacoes Ltda","24","-","-","37"
"281471451559830","281471451559830","RES","BR","Brazil","Rio de Janeiro","Rio das Ostras","Giga Mais Fibra Telecomunicacoes S.A.","gigamaisfibra.com.br","ISP","28210","Giga Mais Fibra Telecomunicacoes S.A.","27","-","-","34"
