"281470702746086","281470702746086","RES","HK","Hong Kong","Hong Kong","Hong Kong","Hong Kong Telecommunications (HKT) Limited","netvigator.com","ISP/MOB","4760","HKT Limited","21","-","-","40"
"281470703493222","281470703493222","RES","JP","Japan","Niigata","Niigata","NTT DoCoMo Inc.","nttdocomo.com","ISP/MOB","9605","NTT DoCoMo Inc.","4","-","-","57"
"281470704569899","281470704569899","PUB","CN","China","Beijing","Beijing","Huawei Public Cloud Service","huawei.com","DCH","55990","Huawei Cloud Service Data Center","30","-","-","80"
"281470706209631","281470706209631","PUB","CN","China","Beijing","Beijing","Tencent Cloud Computing (Beijing) Co. Ltd.","tencent.com","DCH","45090","Shenzhen Tencent Computer Systems Company Limited","30","-","-","80"
"281470707763826","281470707763826","RES","AU","Australia","Queensland","Brisbane","Telstra Limited","telstra.com.au","ISP/MOB","1221","Telstra Limited","21","-","-","40"
"281470708089043","281470708089043","RES","AU","Australia","Queensland","Brisbane","Telstra Limited","telstra.com.au","ISP/MOB","1221","Telstra Limited","16","-","-","45"
"281470708887031","281470708887031","RES","AU","Australia","New South Wales","Sydney","Telstra Limited","telstra.com.au","ISP/MOB","1221","Telstra Limited","6","-","-","55"
"281470709105912","281470709105912","RES","TW","Taiwan (Province of China)","Hsinchu","Hsinchu","Chunghwa Telecom Data Communication Business Group","hinet.net","ISP","3462","Data Communication Business Group","15","-","-","46"
"281470709279688","281470709279688","RES","TW","Taiwan (Province of China)","Taoyuan","Taoyuan","Chunghwa Telecom Data Communication Business Group","hinet.net","ISP","3462","Data Communication Business Group","13","-","-","48"
"281470709556285","281470709556285","RES","TW","Taiwan (Province of China)","Taipei","Taipei","Chunghwa Telecom Data Communication Business Group","hinet.net","ISP","3462","Data Communication Business Group","27","-","-","34"
"281470709712761","281470709712761","RES","TW","Taiwan (Province of China)","Changhua","Yuanlin","Chunghwa Telecom Data Communication Business Group","hinet.net","ISP","3462","Data Communication Business Group","19","-","-","42"
"281470709861627","281470709861627","RES","TW","Taiwan (Province of China)","Tainan","Tainan","Chunghwa Telecom Data Communication Business Group","hinet.net","ISP","3462","Data Communication Business Group","19","-","-","42"
"281470710005864","281470710005864","RES","TW","Taiwan (Province of China)","Kaohsiung","Kaohsiung","Chunghwa Telecom Data Communication Business Group","hinet.net","ISP","3462","Data Communication Business Group","13","-","-","48"
"281470710220491","281470710220491","RES","PS","Palestine, State of","Nablus","Nablus","Palestine Telecommunications Company","paltel.net","ISP/MOB","12975","Palestine Telecommunications Company (Paltel)","19","-","-","42"
