"281470722835592","281470722835595","IT","Italy","Lazio","Rome","41.894253","12.484253","00135","LVMH Italia Spa-Divisione Moda E Pelletteria","lvmh.com"
"281470722855952","281470722855959","IT","Italy","Lombardia","Milan","45.464336","9.188547","20131","Telecom Italia S.p.A.","telecomitalia.it"
"281470722883596","281470722883603","IT","Italy","Piemonte","Ferrero","45.450000","7.883330","10015","Ferrero Commerciale Italia S.R.L. Con Unico Socio","telecomitalia.it"
"281470722904688","281470722904691","IT","Italy","Lombardia","Milan","45.464336","9.188547","20131","Telecom Italia S.p.A.","telecomitalia.it"
"281470722921752","281470722921755","IT","Italy","Veneto","Marostica","45.746800","11.657900","36063","Gentilini S.r.l.","telecomitalia.it"
"281470722937324","281470722937327","IT","Italy","Emilia-Romagna","Bologna","44.493859","11.338558","40141","Di.Tech SpA","di-tech.it"
"281470722960004","281470722960007","IT","Italy","Lombardia","Segrate","45.496240","9.293238","20090","DK","dk.com"
"281470722974552","281470722974559","IT","Italy","Veneto","Negrar","45.528790","10.937980","37029","Societa' Semplice Agricola Tommasi Viticoltori","telecomitalia.it"
"281470722999604","281470722999615","IT","Italy","Lombardia","Milan","45.464336","9.188547","20131","Telecom Italia S.p.A.","telecomitalia.it"
"281470723031164","281470723031167","IT","Italy","Liguria","Stella","44.393440","8.497950","17044","Iniziativa Turistica Stella Maris SRL","telecomitalia.it"
"281470723040160","281470723040167","IT","Italy","Veneto","Verona","45.434122","10.997721","37069","Calzedonia SpA","calzedoniagroup.com"
"281470723054280","281470723054287","IT","Italy","Emilia-Romagna","Viano","44.545860","10.621200","42030","Cup 2000 SpA","lepida.net"
"281470723076864","281470723076879","IT","Italy","Lombardia","Milan","45.464336","9.188547","20131","Telecom Italia S.p.A.","telecomitalia.it"
"281470723095344","281470723095359","IT","Italy","Lazio","Rome","41.894253","12.484253","00135","PEK Communications SRL","telecomitalia.it"
"281470723105288","281470723105291","IT","Italy","Sardegna","Cagliari","39.207284","9.134422","09126","Giuseppe Cavallaro SRL-Socio Uni","telecomitalia.it"
"281470723122936","281470723122943","IT","Italy","Lombardia","Milan","45.464336","9.188547","20131","Telecom Italia S.p.A.","telecomitalia.it"
"281470723150800","281470723150807","IT","Italy","Campania","Salerno","40.677970","14.765990","84121","Procura della Repubblica","telecomitalia.it"
"281470723709696","281470723709951","DK","Denmark","Midtjylland","Torring","55.850000","9.483330","7160","Telenor A/S","telenor.dk"
"281470724038252","281470724038255","KZ","Kazakhstan","Zhetisu oblysy","Taldykorgan","45.015560","78.373890","041600","Taldykorgan","telecom.kz"
"281470724151292","281470724151295","KZ","Kazakhstan","Ulytau oblysy","Kazakhstan","48.516670","66.766670","100700","Ashutasty","telecom.kz"
"281470724206856","281470724206859","KZ","Kazakhstan","Aqmola oblysy","Sergeevka","51.656350","68.197730","020000","AO <NPF GNPF>","telecom.kz"
"281470724493824","281470724494079","ES","Spain","Castilla-La Mancha","Sesena","40.104730","-3.697930","45223","Telefonica de Espana Sau","telefonica.com"
"281470724833024","281470724833535","IR","Iran (Islamic Republic of)","Tehran","Tehran","35.694240","51.421310","11369-13111","Iran Cell Service and Communication Company","irancell.ir"
"281470725194240","281470725194495","NO","Norway","Vestfold og Telemark","Larvik","59.053280","10.035170","3285","Telenor Norge AS","telenor.net"
"281470725649408","281470725649663","IT","Italy","Toscana","Florence","43.766610","11.250106","50145","Wind Tre S.p.A.","windtre.it"
"281470727084544","281470727084799","IR","Iran (Islamic Republic of)","Mazandaran","Neka","36.650790","53.299050","48416-15157","Iran Information Technology Company PJSC","itc.ir"
"281470727529728","281470727529983","IR","Iran (Islamic Republic of)","Azarbayjan-e Sharqi","Bonab","37.340400","46.056100","55518-13838","Iran Information Technology Company PJSC","itc.ir"
"281470728148736","281470728149247","IT","Italy","Lazio","Rome","41.894253","12.484253","00135","Telecom Italia Mobile","tim.it"
"281470728504832","281470728505087","DE","Germany","Schleswig-Holstein","Luebeck","53.868981","10.687058","23539","Vodafone GmbH","vodafone.de"
"281470728842240","281470728842495","DE","Germany","Nordrhein-Westfalen","Monchengladbach","51.185390","6.441720","41065","Vodafone GmbH","vodafone.de"
"281470728908608","281470728908615","DE","Germany","Sachsen-Anhalt","Platz","52.738470","11.886690","39596","Vodafone GmbH","vodafone.de"
"281470728923784","281470728923791","DE","Germany","Sachsen-Anhalt","Magdeburg","52.127602","11.630042","39126","Stark Deutschland GmbH","stark-deutschland.de"
"281470729162496","281470729162751","DE","Germany","Rheinland-Pfalz","Bad Kreuznach","49.841673","7.866833","55543","Telefonica Germany GmbH & Co. OHG","telefonica.de"
"281470729500416","281470729501439","GB","United Kingdom of Great Britain and Northern Ireland","England","Birmingham","52.481420","-1.899830","B3","SKY UK Limited","sky.com"
"281470730241784","281470730241787","IT","Italy","Toscana","Florence","43.766610","11.250106","50145","Locande degli Artisti","fastwebnet.it"
"281470730251192","281470730251199","IT","Italy","Lombardia","Milan","45.464336","9.188547","20131","Regus Business Centres Italia","regus.com"
"281470730260272","281470730260287","IT","Italy","Lazio","Rome","41.894253","12.484253","00135","Radio Dimensione Suono","rds.it"
"281470730269560","281470730269567","IT","Italy","Campania","Frattamaggiore","40.939310","14.274030","80027","Banca Regionale di Sviluppo","fastweb.it"
"281470730279168","281470730279183","IT","Italy","Lombardia","Viadana","44.929412","10.518662","46019","Fastweb SpA","fastweb.it"
"281470730298200","281470730298207","IT","Italy","Lombardia","Milan","45.464336","9.188547","20155","BRT 001","ocbrt.com"
"281470730304768","281470730304775","IT","Italy","Emilia-Romagna","Forli","44.223718","12.052520","47100","Falber Fashion","fastwebnet.it"
"281470730320392","281470730320399","IT","Italy","Lombardia","Verolanuova","45.328180","10.075870","25028","Bruel SRL","fastwebnet.it"
"281470730325608","281470730325611","IT","Italy","Sicilia","Caltanissetta","37.487740","14.044970","93100","Deutsche Telekom Global Business Solutions Italia","telekom.com"
"281470731102720","281470731102975","DE","Germany","Schleswig-Holstein","Allee","53.750000","10.216670","22941","Telefonica Germany GmbH & Co. OHG","telefonica.de"
"281470731603200","281470731603455","SE","Sweden","Stockholms lan","Stockholm","59.332748","18.064841","19587","Telia Network Services","telia.com"
"281470732455936","281470732457471","IN","India","Maharashtra","Mumbai","19.075975","72.877377","400099","Amazon Technologies Inc.","amazon.com"
"281470748854223","281470748854225","US","United States of America","Georgia","Atlanta","33.748795","-84.387543","30383","Level 3 Communications Inc.","level3.com"
"281470748914861","281470748914861","US","United States of America","Michigan","Detroit","42.331430","-83.045750","48226","Level 3 Communications Inc.","level3.com"
"281470748936994","281470748936996","US","United States of America","Georgia","Atlanta","33.748795","-84.387543","30383","Level 3 Communications Inc.","level3.com"
"281470748951189","281470748951189","US","United States of America","Massachusetts","Boston","42.358478","-71.060075","02117","Level 3 Communications Inc.","level3.com"
"281470748987503","281470748987504","US","United States of America","District of Columbia","Washington","38.895390","-77.039476","56944","Level 3 Communications Inc.","level3.com"
