"281470698520576","281470698520831","DCH","AU","Australia","Queensland","Brisbane","APNIC and CloudFlare DNS Resolver Project","cloudflare.com","CDN","13335","CloudFlare Inc","1","-"
"281470699512759","281470699512759","PUB","CN","China","Shanghai","Shanghai","Tencent Cloud Computing (Beijing) Co. Ltd.","tencent.com","DCH","45090","Shenzhen Tencent Computer Systems Company Limited","30","-"
"281470700667476","281470700667476","PUB","HK","Hong Kong","Hong Kong","Hong Kong","RackIP Consultancy Pte. Ltd.","rackip.com","DCH","64050","BGP Network Limited","30","-"
"281470703209472","281470703209625","DCH","CN","China","Shanxi","Taiyuan","ChinaNet Shanxi Province Network","chinatelecom.com.cn","DCH","4134","China Telecom","1","-"
"281470704743523","281470704743678","DCH","CN","China","Beijing","Beijing","Huawei Public Cloud Service","huawei.com","DCH","55990","Huawei Cloud Service Data Center","1","-"
"281470710341120","281470710341329","DCH","CN","China","Nei Mongol","Ordos","ChinaNet Neimenggu Province Network","chinatelecom.com.cn","DCH","4134","China Telecom","1","-"
"281470716392960","281470716393215","DCH","DE","Germany","Hessen","Frankfurt am Main","Akamai International BV","akamai.com","CDN","20940","Akamai International B.V.","1","-"
"281470716805120","281470716806399","DCH","BE","Belgium","Brussels Hoofdstedelijk Gewest","Brussels","Akamai International BV","akamai.com","CDN","34164","Akamai International B.V.","1","-"
"281470717076423","281470717076423","VPN","DE","Germany","Hessen","Frankfurt am Main","Xorek.Cloud Frankfurt","xorek.cloud","DCH","215590","DpkgSoft International Limited","5","-"
"281470719001626","281470719001626","PUB","CH","Switzerland","Bern","Bern","Sebastian Fohler","far-galaxy.de","DCH","209232","Sebastian Fohler","30","-"
"281470719037773","281470719037773","DCH","BE","Belgium","Brussels Hoofdstedelijk Gewest","Brussels","Cyber Assets Fzco","cyberassets.ae","DCH","209526","Cyber Assets Fzco","1","-"
"281470719076371","281470719076379","VPN","US","United States of America","New Jersey","Secaucus","VPN Consumer New Jersey United States of America","tnrtechnologies.nl","DCH","396356","Latitude.sh","1","SCANNER"
"281470719117336","281470719117336","VPN","GB","United Kingdom of Great Britain and Northern Ireland","England","London","PacketHub S.A.","nordvpn.com","DCH","62240","Clouvider Limited","23","-"
"281470719158528","281470719158783","VPN","FI","Finland","Uusimaa","Helsinki","Karol4","hostinglearn.com","DCH","212335","Simoresta UAB","1","-"
"281470719205895","281470719205895","PUB","LT","Lithuania","Vilniaus apskritis","Vilnius","Global Connectivity Solutions LLP","globconnex.com","DCH","215540","Global Connectivity Solutions LLP","30","-"
"281470723011392","281470723011395","DCH","IT","Italy","Emilia-Romagna","Bologna","Lepida S.c.p.A.","lepida.it","DCH","3269","Telecom Italia S.p.A.","1","-"
"281470728916368","281470728916375","DCH","DE","Germany","Brandenburg","Trebus","Educado-Servicegesellschaft mbH","vodafone-ip.de","DCH","3209","Vodafone GmbH","1","-"
"281470732073373","281470732073373","DCH","US","United States of America","New Jersey","Piscataway","Arelion Sweden AB","arelion.com","DCH","1299","Arelion Sweden AB","1","-"
"281470732100701","281470732100701","PUB","SG","Singapore","Singapore","Singapore","Amazon Data Services Singapore","amazon.com","DCH","16509","Amazon.com Inc.","30","-"
"281470732192178","281470732192178","PUB","SG","Singapore","Singapore","Singapore","Amazon Data Services Singapore","amazon.com","DCH","16509","Amazon.com Inc.","30","-"
"281470732497966","281470732497966","PUB","IN","India","Maharashtra","Mumbai","Amazon Data Services India","amazon.com","DCH","16509","Amazon.com Inc.","30","-"
"281470732603944","281470732603944","PUB","GB","United Kingdom of Great Britain and Northern Ireland","England","London","Amazon Data Services UK","amazon.com","DCH","16509","Amazon.com Inc.","30","-"
"281470732633655","281470732633673","DCH","GB","United Kingdom of Great Britain and Northern Ireland","England","London","Amazon Data Services UK","amazon.com","DCH","16509","Amazon.com Inc.","1","-"
"281470732647871","281470732647985","DCH","GB","United Kingdom of Great Britain and Northern Ireland","England","London","Amazon Data Services UK","amazon.com","DCH","16509","Amazon.com Inc.","1","-"
"281470732700569","281470732700569","PUB","GB","United Kingdom of Great Britain and Northern Ireland","England","London","Amazon Data Services UK","amazon.com","DCH","16509","Amazon.com Inc.","30","-"
"281470732766375","281470732766395","DCH","GB","United Kingdom of Great Britain and Northern Ireland","England","London","Amazon Data Services UK","amazon.com","DCH","16509","Amazon.com Inc.","1","-"
"281470732816821","281470732816890","DCH","GB","United Kingdom of Great Britain and Northern Ireland","England","London","Amazon Data Services UK","amazon.com","DCH","16509","Amazon.com Inc.","1","-"
"281470732900829","281470732900829","SES","US","United States of America","Ohio","Columbus","Amazon Technologies Inc.","amazon.com","SES/AIC","16509","Amazon.com Inc.","1","-"
"281470733003498","281470733003498","PUB","US","United States of America","Ohio","Columbus","Amazon Technologies Inc.","amazon.com","DCH","16509","Amazon.com Inc.","30","-"
"281470733030148","281470733030175","DCH","US","United States of America","Ohio","Columbus","Amazon Technologies Inc.","amazon.com","DCH","16509","Amazon.com Inc.","1","-"
"281470733062214","281470733062239","DCH","US","United States of America","Ohio","Columbus","Amazon Technologies Inc.","amazon.com","DCH","16509","Amazon.com Inc.","1","-"
"281470733094892","281470733094892","SES","US","United States of America","Ohio","Columbus","Amazon Technologies Inc.","amazon.com","SES/AIC","16509","Amazon.com Inc.","1","-"
"281470733106614","281470733106614","PUB","US","United States of America","Ohio","Columbus","Amazon Technologies Inc.","amazon.com","DCH","16509","Amazon.com Inc.","30","-"
"281470733116783","281470733116783","SES","US","United States of America","Ohio","Columbus","Amazon Technologies Inc.","amazon.com","SES/AIC","16509","Amazon.com Inc.","1","-"
"281470733136272","281470733136340","DCH","US","United States of America","Ohio","Columbus","Amazon Technologies Inc.","amazon.com","DCH","16509","Amazon.com Inc.","1","-"
"281470733159176","281470733159176","SES","US","United States of America","Ohio","Columbus","Amazon Technologies Inc.","amazon.com","SES/AIC","16509","Amazon.com Inc.","1","-"
"281470733187292","281470733187445","DCH","US","United States of America","Ohio","Columbus","Amazon Technologies Inc.","amazon.com","DCH","16509","Amazon.com Inc.","1","-"
"281470733209138","281470733209148","DCH","US","United States of America","Ohio","Columbus","Amazon Technologies Inc.","amazon.com","DCH","16509","Amazon.com Inc.","1","-"
"281470733233388","281470733233388","SES","US","United States of America","Ohio","Columbus","Amazon Technologies Inc.","amazon.com","SES/AIC","16509","Amazon.com Inc.","1","-"
"281470733283462","281470733283462","PUB","US","United States of America","Ohio","Columbus","Amazon Technologies Inc.","amazon.com","DCH","16509","Amazon.com Inc.","30","-"
"281470733338496","281470733338504","DCH","US","United States of America","Ohio","Columbus","Amazon Technologies Inc.","amazon.com","DCH","16509","Amazon.com Inc.","1","-"
"281470733390099","281470733390099","PUB","US","United States of America","Ohio","Columbus","Amazon Technologies Inc.","amazon.com","DCH","16509","Amazon.com Inc.","30","-"
