"281470722717184","281470722717439","IT","Italy","Lazio","Rome","41.894253","12.484253","Telecom Italia S.p.A.","telecomitalia.it","222","01","TIM","ISP/MOB"
"281470722738840","281470722738847","IT","Italy","Piemonte","Torino","45.070490","7.686820","Agenzia Regionale Protezione Ambiente","arpacampania.it","-","-","-","COM"
"281470722769632","281470722769647","IT","Italy","Sardegna","Cagliari","39.207284","9.134422","Metide SRL","metide.com","-","-","-","DCH"
"281470722788628","281470722788631","IT","Italy","Campania","Frignano","40.998110","14.179130","Onoranze Funebri Verucchi S.N.C. di Verucchi Cinzia E C.","telecomitalia.it","-","-","-","COM"
"281470722804016","281470722804019","IT","Italy","Toscana","Arezzo","43.461442","11.876960","Soprintendenza Archeologia Belle Arti E Paesaggio Per le Provincie di Siena Grosseto E Arezzo","telecomitalia.it","-","-","-","COM"
"281470722820192","281470722820199","IT","Italy","Sicilia","Partinico","38.043950","13.120040","Pac 2000 A Societa' Cooperativa","pac2000a.it","-","-","-","ORG"
"281470722838080","281470722838151","IT","Italy","Lombardia","Milan","45.464336","9.188547","Telecom Italia S.p.A.","telecomitalia.it","222","01","TIM","ISP/MOB"
"281470722858104","281470722858111","IT","Italy","Emilia-Romagna","Cesena","44.139023","12.243604","Telecom Italia S.p.A.","telecomitalia.it","222","01","TIM","ISP/MOB"
"281470722887892","281470722887895","IT","Italy","Marche","Angeli","43.472360","13.068220","Acaangelicoarelliassicurazionisrl","telecomitalia.it","-","-","-","COM"
"281470722906464","281470722906471","IT","Italy","Lombardia","Brescia","45.524726","10.227270","LA Tecnica SRL","telecomitalia.it","-","-","-","COM"
"281470722923480","281470722923487","IT","Italy","Trentino-Alto Adige","Trento","46.067658","11.121181","Distillerie Sembenotti SRL","telecomitalia.it","-","-","-","COM"
"281470722941472","281470722941475","IT","Italy","Trentino-Alto Adige","Campi","45.911300","10.811600","Hotel Pineta Campi S.r.l.","telecomitalia.it","-","-","-","COM"
"281470722961440","281470722961447","IT","Italy","Lombardia","Milan","45.464336","9.188547","DK","dk.com","-","-","-","COM"
"281470722980024","281470722980031","IT","Italy","Veneto","Calalzo di Cadore","46.440000","12.383330","Demenego S.p.A.","telecomitalia.it","-","-","-","COM"
"281470723002556","281470723002559","IT","Italy","Lazio","Arce","41.586620","13.573610","Gssgeneralisharedservicesscarl","generali.com","-","-","-","COM"
"281470723032808","281470723032815","IT","Italy","Lazio","Nepi","42.242820","12.345570","Edizioni Play-Press SRL","telecomitalia.it","-","-","-","COM"
"281470723041600","281470723041607","IT","Italy","Lazio","Ciampino","41.801620","12.606580","Methodo S.r.l.","oval.it","-","-","-","COM"
"281470723055560","281470723055563","IT","Italy","Lombardia","Milan","45.464336","9.188547","Telecom Italia S.p.A.","telecomitalia.it","222","01","TIM","ISP/MOB"
"281470723082308","281470723082311","IT","Italy","Lombardia","Milan","45.464336","9.188547","Unidea snc di Benatti Elena E Squizzato Alessandro","telecomitalia.it","-","-","-","COM"
"281470723097600","281470723097603","IT","Italy","Lazio","Rome","41.894253","12.484253","DK","dk.com","-","-","-","COM"
"281470723106312","281470723106319","IT","Italy","Lazio","Rome","41.894253","12.484253","Sara Assicurazioni SpA","sara.it","-","-","-","COM"
"281470723129712","281470723129719","IT","Italy","Campania","Castel Volturno","41.033530","13.942170","M.D.W. Societa' A Responsabilita' Limitata","telecomitalia.it","-","-","-","COM"
"281470723158424","281470723158427","IT","Italy","Emilia-Romagna","Rimini","44.063219","12.580874","Madonna della Carita' - Cooperativa Sociale A Responsabilita","telecomitalia.it","-","-","-","COM"
"281470723854336","281470723854591","DK","Denmark","Hovedstaden","Copenhagen","55.675940","12.565530","Telenor A/S","telenor.dk","238","02/77","Telenor","ISP/MOB"
"281470724050432","281470724050687","KZ","Kazakhstan","Zhambyl oblysy","Taraz","42.900058","71.364836","JSC Kazakhtelecom","telecom.kz","401","07","Altel","ISP/MOB"
"281470724182264","281470724182267","KZ","Kazakhstan","Zhambyl oblysy","Taraz","42.900058","71.364836","Taraz","telecom.kz","-","-","-","ISP"
"281470724207948","281470724207951","KZ","Kazakhstan","Ulytau oblysy","Kazakhstan","48.516670","66.766670","JSC Kazakhtelecom","telecom.kz","401","07","Altel","ISP/MOB"
"281470724553216","281470724553471","ES","Spain","Valenciana, Comunidad","Valencia","39.469481","-0.377568","Telefonica de Espana Sau","telefonica.com","214","05/07","Movistar","ISP/MOB"
"281470724972544","281470724972799","IR","Iran (Islamic Republic of)","Hamadan","Hamadan","34.799220","48.514560","Iran Cell Service and Communication Company","irancell.ir","432","35","MTN Irancell","ISP/MOB"
"281470725261412","281470725261415","CO","Colombia","Antioquia","Medellin","6.251712","-75.563391","City Parking S.A.S","ono.com","-","-","-","DCH"
"281470725696512","281470725696767","IT","Italy","Lazio","Rome","41.894253","12.484253","Wind Tre S.p.A.","windtre.it","222","88","Wind Tre","ISP/MOB"
"281470727227648","281470727229439","IR","Iran (Islamic Republic of)","Hamadan","Hamadan","34.799220","48.514560","Iran Information Technology Company PJSC","itc.ir","-","-","-","ISP"
"281470727741696","281470727741951","IR","Iran (Islamic Republic of)","Lorestan","Azna","33.609500","48.930700","Iran Information Technology Company PJSC","itc.ir","-","-","-","ISP"
"281470728251904","281470728252159","IT","Italy","Lazio","Rome","41.894253","12.484253","Telecom Italia Mobile","tim.it","222","01","TIM","ISP/MOB"
"281470728587264","281470728587519","DE","Germany","Bayern","Wuerzburg","49.787991","9.935919","Vodafone GmbH","vodafone.de","262","02/09","Vodafone","MOB"
"281470728897872","281470728897903","DE","Germany","Sachsen-Anhalt","Platz","52.738470","11.886690","Vodafone GmbH","vodafone.de","262","02/09","Vodafone","MOB"
"281470728913848","281470728913855","DE","Germany","Nordrhein-Westfalen","Gummersbach","51.026080","7.564730","Media-Saturn Deutschland GmbH","mediamarktsaturn.com","-","-","-","COM"
"281470728928288","281470728928303","DE","Germany","Schleswig-Holstein","Allee","53.750000","10.216670","Vienna International Asset GmbH","vodafone.de","-","-","-","COM"
"281470729244416","281470729244671","DE","Germany","Bayern","Munich","48.137430","11.575490","Telefonica Germany GmbH & Co. OHG","telefonica.de","262","07","O2","ISP/MOB"
"281470729724416","281470729724927","GB","United Kingdom of Great Britain and Northern Ireland","England","London","51.508530","-0.125740","Sky UK Limited","sky.com","234","57","Sky Mobile","ISP/MOB"
"281470730244480","281470730244487","IT","Italy","Lombardia","Milan","45.464336","9.188547","Amplifon Italia","amplifon.com","-","-","-","COM"
"281470730253644","281470730253647","IT","Italy","Friuli-Venezia Giulia","Sacile","45.954120","12.502740","RCH","resourcescamphire.com.au","-","-","-","COM"
"281470730262864","281470730262879","IT","Italy","Lombardia","Milan","45.464336","9.188547","Regus Business Centres Italia","regus.com","-","-","-","COM"
"281470730272072","281470730272079","IT","Italy","Sicilia","Randazzo","37.877360","14.950120","Vivai Piante Vincenzo Russo di Salvatore Russo","fastwebnet.it","-","-","-","COM"
"281470730281552","281470730281559","IT","Italy","Lombardia","Milan","45.464336","9.188547","Origoni Zanoletti","fastwebnet.it","-","-","-","COM"
"281470730300280","281470730300283","IT","Italy","Liguria","Riva Ligure","43.837920","7.879650","Kos Servizi Societa Consortile","fastweb.it","-","-","-","ISP"
"281470730310792","281470730310795","IT","Italy","Trentino-Alto Adige","Marche","47.020450","12.038480","Kos Servizi Societa Consortile","fastweb.it","-","-","-","ISP"
"281470730321656","281470730321659","IT","Italy","Lombardia","Milan","45.464336","9.188547","Reab Commerciale","fastwebnet.it","-","-","-","COM"
