"52025281","52025281","PUB","AU","Australia","New South Wales","Sydney","Amazon Corporate Services Pty Ltd","amazon.com","DCH"
"52064746","52064746","PUB","AU","Australia","New South Wales","Sydney","Amazon Corporate Services Pty Ltd","amazon.com","DCH"
"52111711","52111711","PUB","AU","Australia","New South Wales","Sydney","Amazon Corporate Services Pty Ltd","amazon.com","DCH"
"52142595","52142595","PUB","AU","Australia","New South Wales","Sydney","Amazon Corporate Services Pty Ltd","amazon.com","DCH"
"52180819","52180823","DCH","AE","United Arab Emirates","Dubayy","Dubai","Amazon Technologies Inc.","amazon.com","DCH"
"52228103","52228111","DCH","AE","United Arab Emirates","Dubayy","Dubai","Amazon Technologies Inc.","amazon.com","DCH"
"52346239","52346239","PUB","US","United States of America","Washington","Seattle","Amazon.com Inc.","amazon.com","DCH"
"52594099","52594124","DCH","KR","Korea (the Republic of)","Seoul-teukbyeolsi","Seoul","Amazon Technologies Inc.","amazon.com","DCH"
"52628561","52628561","PUB","KR","Korea (the Republic of)","Seoul-teukbyeolsi","Seoul","Amazon Technologies Inc.","amazon.com","DCH"
"52666060","52666060","PUB","KR","Korea (the Republic of)","Seoul-teukbyeolsi","Seoul","Amazon Technologies Inc.","amazon.com","DCH"
"52693767","52693767","PUB","KR","Korea (the Republic of)","Seoul-teukbyeolsi","Seoul","Amazon Technologies Inc.","amazon.com","DCH"
"52715994","52715994","PUB","KR","Korea (the Republic of)","Seoul-teukbyeolsi","Seoul","Amazon Technologies Inc.","amazon.com","DCH"
"52779465","52779465","PUB","KR","Korea (the Republic of)","Seoul-teukbyeolsi","Seoul","Amazon Technologies Inc.","amazon.com","DCH"
"52858309","52858309","PUB","KR","Korea (the Republic of)","Seoul-teukbyeolsi","Seoul","Amazon Technologies Inc.","amazon.com","DCH"
"52874726","52874726","PUB","KR","Korea (the Republic of)","Seoul-teukbyeolsi","Seoul","Amazon Technologies Inc.","amazon.com","DCH"
"52947843","52947850","DCH","KR","Korea (the Republic of)","Seoul-teukbyeolsi","Seoul","Amazon Technologies Inc.","amazon.com","DCH"
"54555949","54555949","PUB","DE","Germany","Hessen","Frankfurt am Main","A100 ROW GmbH","amazon.com","DCH"
"54706254","54706254","PUB","DE","Germany","Hessen","Frankfurt am Main","A100 ROW GmbH","amazon.com","DCH"
"54781703","54781703","PUB","DE","Germany","Hessen","Frankfurt am Main","A100 ROW GmbH","amazon.com","DCH"
"54888855","54888855","VPN","DE","Germany","Hessen","Frankfurt am Main","A100 ROW GmbH","amazon.com","DCH"
"54972483","54972483","PUB","DE","Germany","Hessen","Frankfurt am Main","A100 ROW GmbH","amazon.com","DCH"
"55008847","55008989","DCH","DE","Germany","Hessen","Frankfurt am Main","A100 ROW GmbH","amazon.com","DCH"
"55072436","55072479","DCH","DE","Germany","Hessen","Frankfurt am Main","A100 ROW GmbH","amazon.com","DCH"
"55218966","55218966","PUB","DE","Germany","Hessen","Frankfurt am Main","A100 ROW GmbH","amazon.com","DCH"
"55308448","55308448","PUB","DE","Germany","Hessen","Frankfurt am Main","A100 ROW GmbH","amazon.com","DCH"
"55383157","55383157","PUB","DE","Germany","Hessen","Frankfurt am Main","A100 ROW GmbH","amazon.com","DCH"
"55519164","55519244","DCH","DE","Germany","Hessen","Frankfurt am Main","A100 ROW GmbH","amazon.com","DCH"
"55580139","55580159","DCH","US","United States of America","Virginia","Ashburn","Amazon Technologies Inc.","amazon.com","DCH"
"55614519","55614652","DCH","US","United States of America","Virginia","Ashburn","Amazon Technologies Inc.","amazon.com","DCH"
"55648960","55649070","DCH","US","United States of America","Virginia","Ashburn","Amazon Technologies Inc.","amazon.com","DCH"
"55680658","55680674","DCH","US","United States of America","Virginia","Ashburn","Amazon Technologies Inc.","amazon.com","DCH"
"55718781","55718800","DCH","US","United States of America","Virginia","Ashburn","Amazon Technologies Inc.","amazon.com","DCH"
"55763818","55763832","DCH","US","United States of America","Virginia","Ashburn","Amazon Technologies Inc.","amazon.com","DCH"
"55806579","55806641","DCH","US","United States of America","Virginia","Ashburn","Amazon Technologies Inc.","amazon.com","DCH"
"55851621","55851639","DCH","US","United States of America","Virginia","Ashburn","Amazon Technologies Inc.","amazon.com","DCH"
"55885841","55885880","DCH","US","United States of America","Virginia","Ashburn","Amazon Technologies Inc.","amazon.com","DCH"
"55922381","55922584","DCH","US","United States of America","Virginia","Ashburn","Amazon Technologies Inc.","amazon.com","DCH"
"55960827","55960827","PUB","US","United States of America","Virginia","Ashburn","Amazon Technologies Inc.","amazon.com","DCH"
"56003462","56003462","PUB","US","United States of America","Virginia","Ashburn","Amazon Technologies Inc.","amazon.com","DCH"
"56040711","56040711","PUB","US","United States of America","Virginia","Ashburn","Amazon Technologies Inc.","amazon.com","DCH"
"56072787","56072787","PUB","US","United States of America","Virginia","Ashburn","Amazon Technologies Inc.","amazon.com","DCH"
"56104612","56104612","PUB","US","United States of America","Virginia","Ashburn","Amazon Technologies Inc.","amazon.com","DCH"
"56141675","56141675","PUB","US","United States of America","Virginia","Ashburn","Amazon Technologies Inc.","amazon.com","DCH"
"56178696","56178696","PUB","US","United States of America","Virginia","Ashburn","Amazon Technologies Inc.","amazon.com","DCH"
"56215013","56215013","PUB","US","United States of America","Virginia","Ashburn","Amazon Technologies Inc.","amazon.com","DCH"
"56258996","56258996","PUB","US","United States of America","Virginia","Ashburn","Amazon Technologies Inc.","amazon.com","DCH"
"56301605","56301609","DCH","US","United States of America","Virginia","Ashburn","Amazon Technologies Inc.","amazon.com","DCH"
"56350349","56350349","PUB","US","United States of America","Virginia","Ashburn","Amazon Technologies Inc.","amazon.com","DCH"
"56402588","56402588","PUB","US","United States of America","Virginia","Ashburn","Amazon Technologies Inc.","amazon.com","DCH"
"56446337","56446337","PUB","US","United States of America","Virginia","Ashburn","Amazon Technologies Inc.","amazon.com","DCH"
"56520904","56520916","DCH","US","United States of America","Virginia","Ashburn","Amazon Technologies Inc.","amazon.com","DCH"
"56573683","56573683","PUB","US","United States of America","Virginia","Ashburn","Amazon Technologies Inc.","amazon.com","DCH"
"56626629","56626629","PUB","CA","Canada","Quebec","Montreal","Amazon Data Services Canada","amazon.com","DCH"
"56661362","56661362","PUB","CA","Canada","Quebec","Montreal","Amazon Data Services Canada","amazon.com","DCH"
"56674067","56674067","PUB","CA","Canada","Quebec","Montreal","Amazon Data Services Canada","amazon.com","DCH"
"56706840","56706840","PUB","CA","Canada","Quebec","Montreal","Amazon Data Services Canada","amazon.com","DCH"
"56790388","56790420","DCH","CA","Canada","Quebec","Montreal","Amazon Data Services Canada","amazon.com","DCH"
"56857360","56857373","DCH","CA","Canada","Quebec","Montreal","Amazon Data Services Canada","amazon.com","DCH"
"56868580","56868624","DCH","CA","Canada","Quebec","Montreal","Amazon Data Services Canada","amazon.com","DCH"
"56953966","56953981","DCH","US","United States of America","California","San Francisco","Amazon.com Inc.","amazon.com","DCH"
"56969448","56969448","PUB","US","United States of America","California","San Francisco","Amazon.com Inc.","amazon.com","DCH"
"56980936","56980945","DCH","US","United States of America","California","San Francisco","Amazon.com Inc.","amazon.com","DCH"
"57020027","57020027","PUB","NZ","New Zealand","Auckland","Auckland","Amazon Technologies Inc.","amazon.com","DCH"
"57067665","57067665","PUB","NZ","New Zealand","Auckland","Auckland","Amazon Technologies Inc.","amazon.com","DCH"
"57100200","57100200","PUB","NZ","New Zealand","Auckland","Auckland","Amazon Technologies Inc.","amazon.com","DCH"
"57177205","57177205","PUB","AU","Australia","New South Wales","Sydney","Amazon Corporate Services Pty Ltd","amazon.com","DCH"
"57333389","57333516","DCH","AU","Australia","New South Wales","Sydney","Amazon Corporate Services Pty Ltd","amazon.com","DCH"
"57358769","57358773","DCH","AU","Australia","New South Wales","Sydney","Amazon Corporate Services Pty Ltd","amazon.com","DCH"
"57395619","57395675","DCH","AU","Australia","New South Wales","Sydney","Amazon Corporate Services Pty Ltd","amazon.com","DCH"
"57464771","57464771","PUB","IN","India","Maharashtra","Mumbai","Amazon Data Services India","amazon.com","DCH"
"57528210","57528210","PUB","IN","India","Maharashtra","Mumbai","Amazon Data Services India","amazon.com","DCH"
"57570054","57570054","PUB","IN","India","Maharashtra","Mumbai","Amazon Data Services India","amazon.com","DCH"
"57589103","57589103","PUB","IN","India","Maharashtra","Mumbai","Amazon Data Services India","amazon.com","DCH"
"57646379","57646379","PUB","IN","India","Maharashtra","Mumbai","Amazon Data Services India","amazon.com","DCH"
"57683645","57683650","DCH","JP","Japan","Tokyo","Tokyo","Amazon Data Services Japan","amazon.com","DCH"
"57723204","57723204","PUB","JP","Japan","Tokyo","Tokyo","Amazon Data Services Japan","amazon.com","DCH"
"57740623","57740623","PUB","JP","Japan","Tokyo","Tokyo","Amazon Data Services Japan","amazon.com","DCH"
"57979170","57979170","PUB","US","United States of America","Washington","Seattle","Amazon Technologies Inc.","amazon.com","DCH"
"58249565","58249593","DCH","DE","Germany","Hessen","Frankfurt am Main","A100 ROW GmbH","amazon.com","DCH"
"58338093","58340142","DCH","DE","Germany","Hessen","Frankfurt am Main","A100 ROW GmbH","amazon.com","DCH"
"58397829","58397831","DCH","DE","Germany","Hessen","Frankfurt am Main","A100 ROW GmbH","amazon.com","DCH"
"58535859","58535859","PUB","DE","Germany","Hessen","Frankfurt am Main","A100 ROW GmbH","amazon.com","DCH"
"58698464","58698464","PUB","DE","Germany","Hessen","Frankfurt am Main","A100 ROW GmbH","amazon.com","DCH"
"58766973","58766987","DCH","US","United States of America","Ohio","Columbus","Amazon Technologies Inc.","amazon.com","DCH"
"58796861","58796903","DCH","US","United States of America","Ohio","Columbus","Amazon Technologies Inc.","amazon.com","DCH"
"58856694","58856731","DCH","US","United States of America","Ohio","Columbus","Amazon Technologies Inc.","amazon.com","DCH"
"59029448","59029448","PUB","US","United States of America","Ohio","Columbus","Amazon Technologies Inc.","amazon.com","DCH"
"59077424","59077493","DCH","US","United States of America","Ohio","Columbus","Amazon Technologies Inc.","amazon.com","DCH"
"59087083","59087099","DCH","US","United States of America","Ohio","Columbus","Amazon Technologies Inc.","amazon.com","DCH"
"59140033","59140044","DCH","US","United States of America","Ohio","Columbus","Amazon Technologies Inc.","amazon.com","DCH"
"59227698","59227698","PUB","US","United States of America","Ohio","Columbus","Amazon Technologies Inc.","amazon.com","DCH"
"59238254","59238254","SES","US","United States of America","Ohio","Columbus","Amazon Technologies Inc.","amazon.com","SES"
"59304489","59304489","PUB","US","United States of America","Ohio","Columbus","Amazon Technologies Inc.","amazon.com","DCH"
"59354542","59354543","DCH","US","United States of America","Ohio","Columbus","Amazon Technologies Inc.","amazon.com","DCH"
"59366274","59366274","DCH","US","United States of America","Ohio","Columbus","Amazon Technologies Inc.","amazon.com","DCH"
"59407344","59407344","SES","US","United States of America","Ohio","Columbus","Amazon Technologies Inc.","amazon.com","SES"
"59436231","59436535","DCH","US","United States of America","Ohio","Columbus","Amazon Technologies Inc.","amazon.com","DCH"
"59465896","59465896","PUB","US","United States of America","Ohio","Columbus","Amazon Technologies Inc.","amazon.com","DCH"
"59559901","59559901","PUB","US","United States of America","Ohio","Columbus","Amazon Technologies Inc.","amazon.com","DCH"
"59581841","59581841","PUB","US","United States of America","Ohio","Columbus","Amazon Technologies Inc.","amazon.com","DCH"
"59622987","59622987","SES","US","United States of America","Ohio","Columbus","Amazon Technologies Inc.","amazon.com","SES"
"59669437","59669437","PUB","US","United States of America","Ohio","Columbus","Amazon Technologies Inc.","amazon.com","DCH"
"59693631","59693649","DCH","US","United States of America","Ohio","Columbus","Amazon Technologies Inc.","amazon.com","DCH"
