"41217568","41217571","IT","Italy","Lombardia","Brivio","45.739180","9.426850","+02:00","COMP","ITXX0005","Bergamo"
"41236528","41236535","IT","Italy","Veneto","San Biagio di Callalta","45.683610","12.377220","+02:00","COMP","ITXX0079","Treviso"
"41259460","41259463","IT","Italy","Umbria","Bastia","43.067940","12.545560","+02:00","COMP","ITXX0136","Perugia"
"41290756","41290759","IT","Italy","Lombardia","Milan","45.464336","9.188547","+02:00","DSL","ITXX0042","Milan"
"41304960","41304967","IT","Italy","Lombardia","Milan","45.464336","9.188547","+02:00","DSL","ITXX0042","Milan"
"41322384","41322391","IT","Italy","Toscana","Signa","43.792350","11.097920","+02:00","COMP","ITXX0062","Prato"
"41340772","41340775","IT","Italy","Sicilia","Cinisi","38.156150","13.107340","+02:00","COMP","ITXX0055","Palermo"
"41356788","41356795","IT","Italy","Lombardia","Milan","45.464336","9.188547","+02:00","DSL","ITXX0042","Milan"
"41370948","41370951","IT","Italy","Emilia-Romagna","Casalecchio di Reno","44.475570","11.275910","+02:00","COMP","ITXX0006","Bologna"
"41398932","41398935","IT","Italy","Campania","Cervino","41.040020","14.424030","+02:00","COMP","ITXX0014","Caserta"
"41451520","41451775","GB","United Kingdom of Great Britain and Northern Ireland","England","London","51.508530","-0.125740","+01:00","DSL","UKXX0085","London"
"42268804","42268807","KZ","Kazakhstan","Ulytau oblysy","Kazakhstan","48.516670","66.766670","+05:00","DSL","KZXX0030","Zhezkazgan"
"42406936","42406939","KZ","Kazakhstan","Ulytau oblysy","Kazakhstan","48.516670","66.766670","+05:00","COMP","KZXX0030","Zhezkazgan"
"42463456","42463459","KZ","Kazakhstan","Aqmola oblysy","Sergeevka","51.656350","68.197730","+05:00","DSL","KZXX0020","Atbasar"
"42771200","42771455","ES","Spain","Castilla-La Mancha","Bolanos de Calatrava","38.906900","-3.663460","+02:00","DSL","SPXX0023","Ciudad Real"
"43116288","43116543","IR","Iran (Islamic Republic of)","Tehran","Tehran","35.694240","51.421310","+03:30","DSL","IRXX0018","Tehran"
"43479808","43480063","NO","Norway","Troms og Finnmark","Hamnvik","68.778310","17.174570","+02:00","DSL","NOXX0052","Evenes"
"45319936","45320191","IR","Iran (Islamic Republic of)","Qom","Qom","34.640242","50.876326","+03:30","DSL","IRXX0004","Eslamshahr"
"45731840","45732607","IR","Iran (Islamic Republic of)","Lorestan","Khorramabad","33.487780","48.355830","+03:30","DSL","IRXX0030","Arak"
"46413312","46413567","IT","Italy","Sicilia","Pozzallo","36.730540","14.849890","+02:00","DSL","ITXX0156","Syrakus"
"46798080","46798335","DE","Germany","Baden-Wurttemberg","Freiburg","47.995900","7.852220","+02:00","DSL","GMXX0041","Freiburg/Breisgau"
"47136512","47136767","DE","Germany","Bayern","Kaufbeuren","47.882380","10.621920","+02:00","DSL","GMXX0203","Kaufbeuren"
"47168288","47168303","DE","Germany","Nordrhein-Westfalen","Espelkamp","52.382511","8.621729","+02:00","T1","GMXX0085","Minden"
"47183120","47183135","DE","Germany","Sachsen","Elterlein","50.576630","12.868360","+02:00","T1","GMXX0016","Chemnitz"
"47468032","47468287","DE","Germany","Nordrhein-Westfalen","Aachen","50.776546","6.083599","+02:00","DSL","GMXX0154","Aachen"
"47825920","47826431","GB","United Kingdom of Great Britain and Northern Ireland","England","London","51.508530","-0.125740","+01:00","DSL","UKXX0085","London"
"48500864","48500879","IT","Italy","Veneto","Verona","45.434122","10.997721","+02:00","COMP","ITXX0087","Verona"
"48510644","48510647","IT","Italy","Lazio","Vetralla","42.309820","12.078360","+02:00","COMP","ITXX0089","Viterbo"
"48520396","48520399","IT","Italy","Lombardia","Milan","45.464336","9.188547","+02:00","COMP","ITXX0042","Milan"
"48530176","48530191","IT","Italy","Emilia-Romagna","Castel Maggiore","44.577070","11.360710","+02:00","COMP","ITXX0006","Bologna"
"48539788","48539791","IT","Italy","Veneto","Altavilla Vicentina","45.515490","11.458700","+02:00","COMP","ITXX0088","Vicenza"
"48558572","48558575","IT","Italy","Sicilia","Palermo","38.115795","13.359668","+02:00","COMP","ITXX0055","Palermo"
"48573740","48573743","IT","Italy","Campania","Naples","40.833380","14.250132","+02:00","DSL","ITXX0052","Naples"
"48580428","48580431","IT","Italy","Lombardia","Luino","46.001850","8.745120","+02:00","DSL","SZXX0020","Lugano"
"49271168","49271175","IT","Italy","Lombardia","Milan","45.464336","9.188547","+02:00","DSL","ITXX0042","Milan"
